Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
RELIANCE.BSE,02/01/2024,09:07:02,2587.65,2587.65,468,2587.65,468,468,0
RELIANCE.BSE,02/01/2024,09:07:02,2587.65,2587.65,468,2587.65,468,0,0
RELIANCE.BSE,02/01/2024,09:07:02,2587.65,2587.65,468,2587.65,468,0,0
RELIANCE.BSE,02/01/2024,09:07:02,2587.65,2587.65,468,2587.65,468,0,0
RELIANCE.BSE,02/01/2024,09:15:00,2587.65,2587.65,15,2587.65,15,15,0
RELIANCE.BSE,02/01/2024,09:15:03,2585.15,2585.3,190,2585.1,190,190,0
RELIANCE.BSE,02/01/2024,09:15:03,2585.1,2585.3,190,2585.1,190,0,0
RELIANCE.BSE,02/01/2024,09:15:07,2587.3,2587.3,1,2587.3,1,1,0
RELIANCE.BSE,02/01/2024,09:15:07,2587.75,2587.75,10,2587.65,10,10,0
RELIANCE.BSE,02/01/2024,09:15:07,2587.75,2587.75,10,2587.65,10,0,0
RELIANCE.BSE,02/01/2024,09:15:07,2585,2585.05,39,2585,39,39,0
RELIANCE.BSE,02/01/2024,09:15:07,2585,2585.05,39,2585,39,0,0
RELIANCE.BSE,02/01/2024,09:15:08,2587.5,2587.5,2,2587.5,2,2,0
RELIANCE.BSE,02/01/2024,09:15:09,2587.85,2587.85,1,2587.85,1,1,0
RELIANCE.BSE,02/01/2024,09:15:09,2587.85,2587.85,1,2587.85,1,0,0
RELIANCE.BSE,02/01/2024,09:15:14,2587.7,2587.7,20,2587.7,20,20,0
RELIANCE.BSE,02/01/2024,09:15:15,2585.25,2585.3,8,2585.25,8,8,0
RELIANCE.BSE,02/01/2024,09:15:15,2585.25,2585.25,15,2585.25,15,15,0
RELIANCE.BSE,02/01/2024,09:15:15,2587.9,2587.9,2,2587.9,2,2,0
RELIANCE.BSE,02/01/2024,09:15:15,2587.9,2587.9,2,2587.9,2,0,0
RELIANCE.BSE,02/01/2024,09:15:18,2587,2587.05,50,2587,50,50,0
RELIANCE.BSE,02/01/2024,09:15:19,2587.85,2587.9,10,2587.85,10,10,0
RELIANCE.BSE,02/01/2024,09:15:23,2585.7,2585.7,20,2585.7,20,20,0
RELIANCE.BSE,02/01/2024,09:15:24,2585.7,2585.7,20,2585.7,20,20,0
RELIANCE.BSE,02/01/2024,09:15:25,2587.5,2587.5,2,2587.5,2,2,0
RELIANCE.BSE,02/01/2024,09:15:26,2585.2,2585.2,1,2585.2,1,1,0
RELIANCE.BSE,02/01/2024,09:15:26,2585,2585,9,2585,9,9,0
RELIANCE.BSE,02/01/2024,09:15:29,2585.6,2585.6,25,2585.6,25,25,0
RELIANCE.BSE,02/01/2024,09:15:29,2586.55,2587.05,3,2586.55,3,3,0
RELIANCE.BSE,02/01/2024,09:15:32,2587.45,2587.45,20,2587.45,20,20,0
RELIANCE.BSE,02/01/2024,09:15:35,2588.3,2588.3,2,2588.3,2,2,0
RELIANCE.BSE,02/01/2024,09:15:35,2588.3,2588.3,2,2588.3,2,0,0
RELIANCE.BSE,02/01/2024,09:15:35,2588.5,2588.5,100,2588.5,100,100,0
RELIANCE.BSE,02/01/2024,09:15:35,2588.5,2588.5,100,2588.5,100,0,0
RELIANCE.BSE,02/01/2024,09:15:36,2589.85,2589.85,116,2589,116,116,0
RELIANCE.BSE,02/01/2024,09:15:36,2589.85,2589.85,116,2589,116,0,0
RELIANCE.BSE,02/01/2024,09:15:36,2590.05,2590.05,113,2589.85,113,113,0
RELIANCE.BSE,02/01/2024,09:15:36,2590.05,2590.05,113,2589.85,113,0,0
RELIANCE.BSE,02/01/2024,09:15:36,2590.7,2590.7,211,2590.7,211,211,0
RELIANCE.BSE,02/01/2024,09:15:36,2590.7,2590.7,211,2590.7,211,0,0
RELIANCE.BSE,02/01/2024,09:15:36,2590.35,2590.35,1,2590.35,1,1,0
